,Point:0,Point:1,Point:2,T
2575,0.50253,0.1207,0.043535000000000004,695.19
2576,4.6343,0.060448,-0.013319999999999999,263.24
2577,4.6302,0.063576,-0.032773000000000004,263.6
2578,2.9786,0.024694999999999998,-0.034121,312.17
2579,4.5618,0.0021069,-0.07524199999999999,264.12
2580,4.5602,0.021734,-0.080498,264.73
2581,0.49061000000000005,0.10609,-0.039054000000000005,693.55
2582,0.49673999999999996,-0.12444000000000001,0.054222,694.81
2583,3.7304,-0.055232,0.040677,284.4
2584,3.7436,-0.056313,0.047613,283.7
2585,0.36672,-0.045511,0.11342999999999999,683.51
2586,0.40703,-0.086009,0.023645,688.16
2587,2.0971,-0.01824,0.045989999999999996,358.86
2588,1.9776,0.014672999999999999,-0.035567,376.89
2589,0.69033,-0.091012,0.035207999999999996,691.43
2590,0.69008,-0.084937,0.021586,684.11
2591,0.69255,-0.08672300000000001,0.039458,691.48
2592,2.7294,0.023507,-0.0081834,333.15
2593,1.0816,-0.008225,0.043246,545.19
2594,1.3619,0.014081999999999999,-0.027630000000000002,546.39
2595,1.8612,-0.034672,-0.028579000000000004,396.91
2596,4.4232,0.0021847,0.02978,273.23
2597,4.4274,0.007550399999999999,0.020967,273.1
2598,4.4272,0.0036644,0.01548,273.25
2599,1.6609,0.053702,-0.0053521,408.19
2600,1.6473,0.051087,-0.015295,396.81
2601,1.6617,0.043755,-0.008369,436.26
2602,0.41467,0.097107,0.05769199999999999,690.71
2603,0.42339,0.10724000000000002,0.057123,690.12
2604,0.41606000000000004,0.097444,0.059083000000000004,690.45
2605,0.24995,-0.024306,-0.09137200000000001,656.44
2606,0.26197,0.049568,-0.1077,656.94
2607,0.51713,-0.047387,-0.057647000000000004,695.49
2608,0.35112,0.0037038000000000006,-0.036039999999999996,681.94
2609,2.2211,-0.03928,-0.017127,357.77
2610,1.2901,0.0041191000000000005,0.040815,517.05
2611,0.54333,0.0052377,0.082763,697.47
2612,2.2961,0.022233000000000003,0.028433999999999997,360.68
2613,0.23373000000000002,-0.036263,0.12305999999999999,687.61
2614,2.8175,0.015066,-0.038495999999999996,319.09
2615,2.2733,-0.0046886,0.034268,357.27
2616,0.44178999999999996,0.08465,-0.087621,691.83
