"Index","Points:0","Points:1","Points:2","T"
1832,0.18589,-0.1101,-0.00067383,609.12
1857,0.1831,-0.10920999999999999,-0.0082415,605.0
1865,0.18241,-0.10117000000000001,-0.018018,604.17
1890,0.18016,-0.10558,-0.00014069999999999998,601.68
1897,0.17945999999999998,-0.11067,-0.012623,600.75
49925,0.18397,-0.12667,0.012511,606.59
49934,0.18308,-0.12580999999999998,0.014416,605.86
49937,0.19080999999999998,-0.12129000000000001,0.0030183000000000002,613.21
20708,0.20318,0.10999,-0.067342,656.88
20721,0.20248,0.1073,-0.07005700000000001,656.25
20969,0.20027999999999999,0.10784,-0.068432,633.38
21007,0.20212,0.10184,-0.074159,627.15
21125,0.18833,0.09743500000000001,-0.057408,611.33
21152,0.18434,0.10855999999999999,-0.054765,606.2
21153,0.18385,0.10932,-0.06185499999999999,606.43
72194,0.20309000000000002,0.049168,0.042618,627.28
72202,0.20154,0.046847,0.041033,625.49
72221,0.19841,0.050488,0.035746,623.98
72249,0.19548,0.045811000000000004,0.041951,619.61
72273,0.19058,0.065933,0.030345999999999998,616.89
72286,0.18946,0.07395299999999999,0.027906,614.58
72317,0.18647,0.063191,0.036614,609.28
72350,0.18332,0.060890999999999994,0.029506,606.4
72363,0.1817,0.062091999999999994,0.025185,604.65
1547,0.20038,-0.1223,-0.039843,644.95
1680,0.19577999999999998,-0.11822,-0.049272,630.96
1717,0.19538,-0.11408,-0.057865,625.45
1728,0.19837,-0.12100999999999999,-0.033014999999999996,622.09
1732,0.1969,-0.11540999999999998,-0.050739,622.22
1746,0.19777999999999998,-0.11002,-0.027881,620.13
1769,0.19361,-0.12301,-0.029238999999999998,617.87
1801,0.19032000000000002,-0.10935999999999998,-0.058303,613.44
1805,0.18965,-0.10877,-0.046418,612.72
1808,0.18942,-0.11567999999999999,-0.046916,612.45
49796,0.20352,-0.022527000000000002,0.10834,625.34
49822,0.20104,-0.041691000000000006,0.09753099999999999,622.95
49823,0.20025,-0.013706,0.096847,623.87
49841,0.19637000000000002,-0.032445,0.10830999999999999,620.67
49842,0.19546,-0.030317,0.097298,621.16
49852,0.19638,-0.022982,0.11944,617.72
49861,0.19293,-0.025119,0.12412999999999999,617.5
49870,0.19276,-0.027070999999999998,0.11812,614.86
49877,0.19047,-0.029673,0.10278,615.17
49881,0.19024000000000002,-0.036233,0.10439000000000001,613.62
1730,0.19912,-0.059401999999999996,-0.0094884,621.56
1731,0.19795,-0.07065,-0.007237,622.77
1737,0.19684000000000001,-0.075179,-0.008444,622.55
1763,0.19371,-0.088719,-0.011505,619.06
1782,0.19236,-0.067467,-0.01647,616.32
1793,0.19079000000000002,-0.078079,-0.010264,614.74
1828,0.18625999999999998,-0.07486,-0.008073100000000001,609.51
1851,0.18400999999999998,-0.08532200000000001,-0.016411000000000002,607.11
1852,0.20131,-0.073571,-0.0024531999999999996,626.84
1853,0.18352000000000002,-0.084057,-0.010112000000000001,605.98
959,0.19689,-0.10537,-0.074402,682.47
1690,0.20037,-0.10624000000000001,-0.069096,629.49
1708,0.20297,-0.084562,-0.058386,626.8
1725,0.19983,-0.10095,-0.06544,622.68
1729,0.19825,-0.083242,-0.065312,622.83
1739,0.19797,-0.079532,-0.06996799999999999,622.12
1751,0.19704000000000002,-0.10166,-0.056809000000000005,620.23
1773,0.19394,-0.097773,-0.065502,617.14
1791,0.19137,-0.090141,-0.06295,615.33
1824,0.18702,-0.08739,-0.062033000000000005,610.51
49851,0.19383,-0.072575,0.10286,619.7
49904,0.1872,-0.084445,0.09551799999999999,611.35
49912,0.18699000000000002,-0.054088,0.10112,609.54
49928,0.18336,-0.046292,0.11840999999999999,606.54
49941,0.1823,-0.06615599999999999,0.094096,604.33
49954,0.18152000000000001,-0.067348,0.09132699999999999,603.06
49962,0.18045999999999998,-0.050043000000000004,0.10267000000000001,601.74
21002,0.20088,0.060801999999999995,-0.08014299999999999,629.43
21010,0.2012,0.07054500000000001,-0.07025,627.6
21019,0.19798,0.058838999999999995,-0.065353,626.83
21020,0.2011,0.07295499999999999,-0.064662,625.71
21021,0.19779000000000002,0.059104,-0.066452,626.68
21022,0.19798,0.064832,-0.070594,626.29
21023,0.20095,0.07485,-0.085529,625.21
21026,0.20118,0.079823,-0.06732300000000001,625.02
21065,0.1942,0.06943200000000001,-0.07936900000000001,620.13
21094,0.19164,0.084975,-0.081123,614.33
72197,0.20012,0.025025,0.050183,627.08
72208,0.19831,0.029229,0.063593,625.64
72215,0.19926,0.036287,0.061109000000000004,625.41
72242,0.19322,0.038991000000000005,0.072676,621.07
72252,0.19465,0.039672000000000006,0.060566999999999996,620.32
72260,0.19209,0.031967,0.07039400000000001,619.33
72268,0.19214,0.02027,0.062154999999999995,618.25
72288,0.19008,0.041013,0.050956,613.46
72342,0.18394000000000002,0.023651,0.052627,606.82
72346,0.18353,0.029025,0.06465800000000001,606.47
21034,0.20084000000000002,0.032042,-0.0027298,623.54
72198,0.20144,0.028045999999999998,0.024963,626.35
72199,0.20085999999999998,0.034246,0.012135,626.65
72210,0.19918,0.044262,0.012642,625.92
72219,0.19910999999999998,0.034753,0.011095,624.17
72241,0.19546,0.027532,0.021126,620.32
72258,0.19422,0.040057,0.0091189,618.61
72264,0.19926,0.034148000000000005,0.0010306,622.23
72324,0.18587,0.028588,0.021913,608.8
72338,0.184,0.043355,0.014980000000000002,607.64
49788,0.20223,-0.016204,0.011391,627.38
49789,0.20118,-0.0036536999999999997,0.025541,627.54
49791,0.20185999999999998,-0.017318,0.014718,626.84
49794,0.20099,-0.005721199999999999,0.018522999999999998,626.75
49801,0.20054,-0.0047336,0.037699,626.87
49806,0.20153,-0.012754000000000001,0.029925,625.74
49812,0.19921,-0.0033159,0.035358,625.82
49879,0.19032000000000002,-0.0072312,0.023929,614.65
49895,0.18897,-0.006660899999999999,0.022786,612.92
49943,0.18213,-0.0067643,0.024758000000000002,604.47
21033,0.20005,0.048038,-0.013719,624.97
21053,0.19695,0.042931,-0.015655000000000002,620.96
21054,0.19683,0.045889,-0.007491299999999999,621.21
21102,0.18999000000000002,0.063867,-0.016066,614.96
21107,0.18964,0.056777,-0.030068,613.69
21109,0.18915,0.06359400000000001,-0.015062,613.8
21123,0.18844,0.04743,-0.030675,611.35
21154,0.18350999999999998,0.053014,-0.0014962,606.66
21160,0.18312,0.051580999999999995,-0.015804,605.95
21167,0.18164,0.046432999999999995,-0.00012401,603.75
