"active","origId","typeId","origProcId","d","Ygas","rho","Yliquid","Cp","dTarget","nParticle","age","YH2O(l)","mass0","T","Ysolid","tTurb","UTurb:0","UTurb:1","UTurb:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,594,-1,16,1e-05,0,1000,1,4904.6,0,8.1859e+05,0.0088532,1,5.236e-13,528.18,0,0.00042217,-2.2093,-2.4132,1.3992,373.27,-0.42019,1.4552,1.3586,0.0047979,-0.036797
1,324,-1,16,1e-05,0,1000,1,8060.3,0,8.1845e+05,0.009334,1,5.236e-13,648.35,0,3.3185e-05,0.30677,9.0266,4.4618,394.26,-0.063872,7.5493,1.0534,0.0019177,-0.02091
1,670,-1,16,1e-05,0,1000,1,5235,0,4.0937e+05,0.0087018,1,5.236e-13,552.91,0,9.0745e-05,-2.2859,8.0181,0.26791,375.68,-1.0523,0.65421,1.1096,0.040749,-0.0011633
1,1180,-1,16,1e-05,0,1000,1,7954,0,8.1839e+05,0.0076667,1,5.236e-13,646.1,0,5.6636e-05,-0.6814,-1.714,2.8221,382.38,0.84154,13.436,1.0204,0.00032669,-0.030511
1,756,-1,16,1e-05,0,1000,1,6459.5,0,8.1858e+05,0.008521,1,5.236e-13,607.05,0,2.2029e-06,6.0566,11.736,-7.8748,408.41,-1.0605,-1.663,1.2623,0.0041311,-0.022323
1,959,-1,16,1e-05,0,1000,1,6459.7,0,4.0929e+05,0.0080919,1,5.236e-13,607.06,0,2.6577e-05,-0.072204,0.26473,0.12194,390.4,-4.2311,-11.434,1.1889,-0.00035292,-0.032619
1,1379,-1,8,1e-05,0,1000,1,8212.9,0,8.1814e+05,0.0073361,1,5.236e-13,651.5,0,2.9917e-05,-2.855,-8.0946,-2.8438,358.3,-11.618,53.742,0.9358,0.0060139,-0.041786
1,643,-1,48,1e-05,0,1000,1,5274.3,0,4.0937e+05,0.0086246,1,5.236e-13,555.36,0,0.00028332,-1.1956,4.2491,1.2646,377.13,1.1279,1.3316,1.1369,0.041498,0.0040369
1,251,-1,16,1e-05,0,1000,1,6880.8,0,8.1832e+05,0.0094725,1,5.236e-13,619.81,0,5.5925e-05,-0.14042,0.021142,-0.11252,367.3,-15.627,-1.1647,1.0124,0.036581,-0.0020837
1,68,-1,16,1e-05,0,1000,1,4300.6,0,4.0891e+05,0.0098439,1,5.236e-13,418.92,0,0.00041833,-4.0232,-4.3197,-9.5889,336.86,-2.9712,-8.2615,1.8816,0.013081,-0.032362
1,96,-1,16,1e-05,0,1000,1,4279,0,8.1794e+05,0.0097823,1,5.236e-13,408.81,0,0.00038401,2.9668,-6.1775,-0.15446,340.08,-3.86,0.2362,1.8673,0.015628,-0.039988
1,121,-1,16,1e-05,0,1000,1,4279,0,4.0897e+05,0.0097274,1,5.236e-13,408.8,0,0.00070713,-11.084,4.9441,-8.4774,327.7,5.9737,-7.8884,1.863,0.01576,-0.04057
1,63,-1,16,1e-05,0,1000,1,4290.7,0,4.0891e+05,0.0098494,1,5.236e-13,414.45,0,0.00036788,1.2331,6.0743,-3.3101,339.88,5.2754,-2.9125,1.855,0.019408,-0.038716
1,25,-1,16,1e-05,0,1000,1,4311.2,0,4.0885e+05,0.0099315,1,5.236e-13,423.44,0,0.00013438,-10.394,-2.578,-3.4371,336.09,-0.51635,-3.7445,1.8696,0.019881,-0.029014
1,26,-1,16,1e-05,0,1000,1,4319.6,0,4.0885e+05,0.009931,1,5.236e-13,426.84,0,0.00040199,-4.815,-1.8098,5.4552,339.33,-1.3009,4.1574,1.8356,0.019129,-0.026637
1,32,-1,16,1e-05,0,1000,1,4328.2,0,4.0885e+05,0.0099144,1,5.236e-13,430.2,0,0.00026413,-0.98007,-0.44279,-1.2168,343.21,-0.76167,-0.96011,1.8294,0.01369,-0.028088
1,126,-1,16,1e-05,0,1000,1,4325.9,0,4.0897e+05,0.0097211,1,5.236e-13,429.3,0,0.0002878,3.6607,6.4552,1.6806,346.68,5.5285,3.2769,1.8209,0.019429,-0.027236
1,6,-1,48,1e-05,0,1000,1,4309.2,0,4.0879e+05,0.0099895,1,5.236e-13,422.61,0,0.00033974,-4.7261,4.7864,1.9786,340.78,4.0407,1.2604,1.8149,0.023681,-0.027004
1,17,-1,16,1e-05,0,1000,1,4307.5,0,8.1769e+05,0.0099579,1,5.236e-13,421.89,0,0.0005164,-3.8345,2.2993,-0.97987,337.5,3.6964,-0.22831,1.8991,0.016597,-0.027745
1,77,-1,16,1e-05,0,1000,1,4317.3,0,4.0891e+05,0.009823,1,5.236e-13,425.93,0,0.00050745,1.808,6.9062,1.6268,345.8,7.284,1.97,1.8026,0.015238,-0.033072
